"id_usuario","id_pedido","restaurante","valor","status","data_registro","data_pedido"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2606355750","Duarte Salgados","49.98","CONCLUDED","2018-08-24","2020-12-09"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1915345022","Bao Acai & Hamburgueria - T3","36.0","CONCLUDED","2018-08-24","2020-06-06"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2358286075","Terra Sertao Restaurante E Pizzaria","16.9","CONCLUDED","2018-08-24","2020-10-10"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2358717026","Bao Acai 1","36.0","CONCLUDED","2018-08-24","2020-10-10"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2381454214","Jantinha Do Vidigal","24.99","CONCLUDED","2018-08-24","2020-10-17"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1932420225","Samura Comida Japonesa","62.4","CONCLUDED","2018-08-24","2020-06-11"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1932433754","Koni - Goiania Shopping","58.0","CONCLUDED","2018-08-24","2020-06-11"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1931296102","Pastel Goiano","39.99","CONCLUDED","2018-08-24","2020-06-11"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2208906474","Restaurante  Brito ","22.0","CONCLUDED","2018-08-24","2020-08-28"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2780388017","Bistrogonofe  - St. Marista","50.19","CONCLUDED","2018-08-24","2021-01-15"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2337615959","Bao Acai 1","36.0","CONCLUDED","2018-08-24","2020-10-04"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2370393107","Lanchonete E Restaurante Sophia","20.99","CANCELLED","2018-08-24","2020-10-14"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2370617996","Restaurante  Brito","22.0","CONCLUDED","2018-08-24","2020-10-14"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2593021064","Bao Acai 1","35.0","CONCLUDED","2018-08-24","2020-12-06"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1988461678","Vivi Restaurante","15.9","CONCLUDED","2018-08-24","2020-06-26"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2398606167","Nsa Supermercado Sudoeste","82.43","CONCLUDED","2018-08-24","2020-10-23"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2266336731","Pamonharia Bueno","39.5","CONCLUDED","2018-08-24","2020-09-13"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2192237457","Restaurante  Brito ","22.0","CONCLUDED","2018-08-24","2020-08-23"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2306142585","Chiquinho Sorvetes - Goiania 05","28.0","CONCLUDED","2018-08-24","2020-09-25"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2453276159","Restaurante Keromais","41.7","CONCLUDED","2018-08-24","2020-11-06"
